"plot","pont","peso.seco","peso.saco","peso.flor_g","peso.fruto_g","peso.galho_g","peso.folha_g","data","obs","date2","years","months","days","weight_g"
"K21","A",36.52,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",28.87
"K21","B",41.7,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",34.05
"K21","C",36.08,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",28.43
"K21","D",34.76,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",27.11
"K22","A",32.23,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",24.58
"K22","B",29.5,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",21.85
"K22","C",24.39,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",16.74
"K22","D",33.14,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",25.49
"K26","A",51.08,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",43.43
"K26","B",24.31,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",16.66
"K26","C",27.76,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",20.11
"K26","D",30.22,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",22.57
"K27","A",19.32,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",11.67
"K27","B",33.2,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",25.55
"K27","C",33.28,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",25.63
"K27","D",39.46,7.65,,,,,"01/10/2011",,2011-10-01,"2011","10","01",31.81
"E21","A",13.72,7.85,0,0,0.3,6.14,"17/10/2011",,2011-10-17,"2011","10","17",5.87
"E21","B",25.69,7.85,0,10.74,4.59,2.36,"17/10/2011",,2011-10-17,"2011","10","17",17.84
"E21","C",16.12,7.85,0.25,2.1,0.87,3.31,"17/10/2011",,2011-10-17,"2011","10","17",8.27
"E21","D",15.65,7.85,0,0.16,1.76,2.5,"17/10/2011",,2011-10-17,"2011","10","17",7.8
"E22","A",12.32,7.85,0,0.13,0.62,9.83,"17/10/2011",,2011-10-17,"2011","10","17",4.47
"E22","B",20.14,7.85,0,0,0.03,11.21,"17/10/2011",,2011-10-17,"2011","10","17",12.29
"E22","C",19.78,7.85,0,0,1.87,10.55,"17/10/2011",,2011-10-17,"2011","10","17",11.93
"E22","D",66.83,7.85,0,0.04,32.7,28.37,"17/10/2011",,2011-10-17,"2011","10","17",58.98
"E26","A",15.78,7.85,0,1.07,0.74,4.56,"17/10/2011",,2011-10-17,"2011","10","17",7.93
"E26","B",34.63,7.85,0,0.32,0.24,13,"17/10/2011",,2011-10-17,"2011","10","17",26.78
"E26","C",10.22,7.85,0,0.27,0,2.41,"17/10/2011",,2011-10-17,"2011","10","17",2.37
"E26","D",17.19,7.85,0,0,1.65,8.14,"17/10/2011",,2011-10-17,"2011","10","17",9.34
"E27","A",15.96,7.85,0,0,0.19,8.58,"17/10/2011",,2011-10-17,"2011","10","17",8.11
"E27","B",13.3,7.85,0,0.58,0.31,4.9,"17/10/2011",,2011-10-17,"2011","10","17",5.45
"E27","C",13.28,7.85,0,0,2.22,4.11,"17/10/2011",,2011-10-17,"2011","10","17",5.43
"E27","D",17.39,7.85,0.11,0.51,0.34,6.11,"17/10/2011",,2011-10-17,"2011","10","17",9.54
"F21","A",11.73,7.85,0,0,1.18,2.95,"17/10/2011",,2011-10-17,"2011","10","17",3.88
