Name,#,Sample_ID,Level,Species,Organ,Tree_ID,id.ext.ss,id.ext.starch,Daum,Weight_mg,Box_HPLC,Box_14C,Results_file_14C,Box_d13C,Glucose,Sucrose,Fructose,Starch,Total_sugars,Total_NSC,TOC_sugars_extraction,Bulk_d13C_permil,Water_soluble_d13C_permil,Starch_d13C_permil,Lipids_d13C_permil,Respired_d13C_permil,Respired_D14C,Sugars_D14C_permil,Starch_D14C_permil,Cellulose_D14C_permil,d15N_bulk,Cellulose_mg,N,C%,N%,C/N,CO2_efflux_flasks,CO2_efflux_Cozir,CO2_norm,Elevation,Shoot_root
B.Hilman,150,M.Mugo.R.6.1_2,Middle,Pinus mugo,Roots 1-2 mm,6,M.Mugo.R.6.1_2_A,M.Mugo.R.6.1_2_E,,50.93,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.6,1.1,0.6,1.7,2.3,3.9,6.161,-27.19,-28.46,-25.94,,-29.65,14.94,36.8,,66.9,-3.59223638920488,8.2,0.431053591187613,48.8412246704102,0.408446550369263,119.58,0.990033925090487,,1.03717732799618,2080,Root
B.Hilman,151,M.Mugo.R.7.1_2,Middle,Pinus mugo,Roots 1-2 mm,7,M.Mugo.R.7.1_2_A,M.Mugo.R.7.1_2_E,,49.68,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.5,0.8,0.5,1.9,1.8,3.6,6.169,-26.70,-28.57,-25.12,-29.39,-28.24,7.11,40,,51.3,-3.74995535139799,8.09,0.41695992674295,49.8121604919434,0.40201723575592,123.91,0.669874469952065,0.125382611422457,0.707885495982735,2080,Root
B.Hilman,152,M.Mugo.R.8.1_2,Middle,Pinus mugo,Roots 1-2 mm,8,M.Mugo.R.8.1_2_A,M.Mugo.R.8.1_2_E,,49.23,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.6,1.3,0.6,1.4,2.4,3.8,4.976,-28.35,-28.86,-27.09,,-30.03,6.05,12,,9.3,-2.34650233526522,5.7,0.769759203743974,49.2080955505371,0.753093540668488,65.34,1.41397146227168,,1.38091823308437,2080,Root
B.Hilman,153,M.Mugo.R.9.1_2,Middle,Pinus mugo,Roots 1-2 mm,9,M.Mugo.R.9.1_2_A,M.Mugo.R.9.1_2_E,,51.72,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.4,1.1,0.5,1.3,2.0,3.3,6.616,-27.40,-28.64,-25.79,,-28.96,11.35,66.6,,111.8,-0.882986523431718,7.13,0.482481741323692,47.7886161804199,0.462832927703857,103.25,0.798264285670687,0.12844901192191,0.804583137176069,2080,Root
B.Hilman,154,M.Mugo.R.10.1_2,Middle,Pinus mugo,Roots 1-2 mm,10,M.Mugo.R.10.1_2_A,M.Mugo.R.10.1_2_E,,51.02,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.6,1.4,0.7,1.9,2.7,4.7,7.581,-26.87,-28.17,-24.67,,-27.71,6.31,17.3,,,-3.85176935057641,5.35,0.713553432500033,49.0204963684082,0.709001541137695,69.14,0.934143362521011,0.140354879597553,0.926807000472428,2080,Root
B.Hilman,155,L.Mugo.R.11.1_2,Low,Pinus mugo,Roots 1-2 mm,11,L.Mugo.R.11.1_2_A,L.Mugo.R.11.1_2_E,,50.92,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.4,1.1,0.5,0.1,2.0,2.0,6.540,-28.58,-30.17,-28.11,,0.00,-18.77,42.4,,53.7,-2.59145233108385,7.17,0.480429677024698,49.0758819580078,0.475777506828308,103.15,0,,0,2000,Root
B.Hilman,156,L.Mugo.R.12.1_2,Low,Pinus mugo,Roots 1-2 mm,12,L.Mugo.R.12.1_2_A,L.Mugo.R.12.1_2_E,,49.7,Box3_13.03.20,Box5_13.03.2020_14C_sugar&starch_Stilberg,,Box3_25.02.2020_d13_sugar&starch_Stilberg,0.5,1.8,0.6,2.1,2.9,5.0,9.133,-27.33,-28.80,-25.60,,-27.95,2.00,41.6,,42.6,-4.44123962523111,4.6,0.518396191479191,50.419361114502,0.496715307235718,101.51,1.17547312560503,0.18197501853423,1.1479950727158,2000,Root
B.Hilman,157,L.Mugo.R.13.1_2,Low,Pinus mugo,Roots 1-2 mm,13,L.Mugo.R.13.1_2_A,L.Mugo.R.13.1_2_E,,50.48,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.3,1.1,0.5,1.7,1.8,3.5,7.181,-27.89,-29.17,-26.26,,-27.96,8.91,85.3,,99.2,-1.06540298567486,7,0.43214103662246,50.7269630432129,0.431555658578873,117.54,0,0.109748146146758,0,2000,Root
B.Hilman,158,L.Mugo.R.14.1_2,Low,Pinus mugo,Roots 1-2 mm,14,L.Mugo.R.14.1_2_A,L.Mugo.R.14.1_2_E,,50.16,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.1,0.6,0.1,0.6,0.8,1.4,5.134,-27.79,-29.47,-26.34,,-28.56,9.14,48.2,,53,-1.41026710431759,8.28,0.382271101914335,49.6302871704102,0.3694708943367,134.33,0,0.111053171858713,0,2000,Root
B.Hilman,159,L.Mugo.R.15.1_2,Low,Pinus mugo,Roots 1-2 mm,15,L.Mugo.R.15.1_2_A,L.Mugo.R.15.1_2_E,,49.5,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.2,0.7,0.1,1.6,1.0,2.6,6.048,-26.57,-28.00,-24.37,,-26.99,1.14,59.6,,69.1,-4.1137340223667,6.59,0.39327825981092,50.7829322814941,0.366786867380142,138.45,0,0.0943621144234316,0,2000,Root
B.Hilman,160,D.Mugo.R.16.1_2,Valley,Pinus mugo,Roots 1-2 mm,16,D.Mugo.R.16.1_2_A,D.Mugo.R.16.1_2_E,,50.43,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.2,1.0,0.1,1.7,1.3,3.0,5.060,-27.27,-28.41,-25.64,,-29.94,3.56,6,,11.9,-1.13572668365527,9.26,0.709748253604771,48.1400833129883,0.717649579048157,67.08,0,0.159859433367008,0,1560,Root
B.Hilman,161,D.Mugo.R.17.1_2,Valley,Pinus mugo,Roots 1-2 mm,17,D.Mugo.R.17.1_2_A,D.Mugo.R.17.1_2_E,,50.21,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.1,0.6,0.1,1.1,0.8,1.9,5.432,-27.09,-28.38,-24.82,,-27.83,4.73,13.6,,18.6,0.636096393398487,6.33,0.901245047676715,48.3036880493164,0.901302695274353,53.59,0,0.138017691609794,0,1560,Root
B.Hilman,162,D.Mugo.R.18.1_2,Valley,Pinus mugo,Roots 1-2 mm,18,D.Mugo.R.18.1_2_A,D.Mugo.R.18.1_2_E,,49.29,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.1,0.8,0.1,1.9,1.0,2.9,6.913,-26.74,-28.21,-26.06,,-28.18,-2.88,41.3,,59.9,1.90645788732538,6.54,0.833645253955231,47.9132080078125,0.810764491558075,59.10,0,0.21599320085247,0,1560,Root
B.Hilman,163,H.Larix.R.1.1_2,High,Larix decidua,Roots 1-2 mm,1,H.Larix.R.1.1_2_A,H.Larix.R.1.1_2_E,,48.94,Box_6_05.06.20,Box5_09.06.2020_d14C_sugar&starch_Stilberg,,Box7_09.06.20_d13C_starch&sugar_Stilberg,0.8,1.8,0.9,2.7,3.5,6.1,10.456,-28.10,-29.24,-26.54,,-28.89,0.85,13.6,,17.9,1.90937855029966,7.61,0.684215091529456,48.9312629699707,0.673863708972931,72.61,1.58636473699261,0.229067005744761,0,2200,Root
B.Hilman,164,H.Larix.R.2.1_2,High,Larix decidua,Roots 1-2 mm,2,H.Larix.R.2.1_2_A,H.Larix.R.2.1_2_E,,50.59,Box3_13.03.20,Box5_13.03.2020_14C_sugar&starch_Stilberg,,Box3_25.02.2020_d13_sugar&starch_Stilberg,0.4,1.4,0.5,1.4,2.3,3.8,8.136,-27.63,-28.81,-26.89,,-28.33,2.12,33,,32.9,4.05381406007645,8.27,0.482000197309619,48.2611312866211,0.443303883075714,108.87,1.06192325634925,,0,2200,Root
