"linhas","xdist","transecto","ydist","FILE","Time","AB12","Mask","Model","Comp","LAI","SEL","DIFN","MTA","SEM","SMP","Prompt1","Prompt2","Rspns1","file_name","ano","mes","dia","hora","minuto","status"
1,0,"T",950,23,"03/03/2011 07:09"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.56,"0.02","0.023",60,15,2,"  LINHA","  PONTO","1","LAI_ABC_marco2011_1a4.txt","2011","3","3","7","9","bom"
1,0,"O",700,18,"15/4/2015 06:48"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.82,"0.01","0.059",41,2,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1,3_20150415AB.txt","2015","04","15","15","06","bom"
1,0,"P",750,1,"20240118 06:54:43","2.0.3","11110","Horizontal","a-p-s",7.11,"0","0.015",62,4,1,"LINHA","PONTO","1","P0D.30","2024","1","18","06","","bom"
1,0,"A",0,1,"12 mar 06:26:59"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.39,"0","0.375",45,13,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","26","bom"
1,0,"J",450,13,"3/21/2007 06:54"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.81,"0.03","0.094",64,5,2,"LINHA  ","PONTO  ","1","LAI_ABC_marco2007_1a8_prob.txt","2007","3","21","6","54","bom"
1,0,"B",50,1,"20240516 06:45:34","2.0.3","11110","Horizontal","a-p-s",7.44,"0","0.009",56,9,1,"LINHA","PONTO","1","B0S.30","2024","5","16","06","","bom"
1,0,"A",0,1,"08 out 06:20:14"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.63,"0.01","0.419",90,25,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3e5_20131008CD.txt","2013","10","08","06","20","bom"
1,0,"T",950,23,"7/24/2007 08:04"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.46,"0.02","0.079",44,20,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2007_1a4.txt","2007","7","24","8","4","bom"
1,0,"D",150,7,"7/14/2006 07:06"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.35,"0.04","0.096",65,7,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2006_1a4.txt","2006","7","14","7","6","bom"
1,0,"L",550,15,"9/16/2009 06:28"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.41,"0","0.046",59,8,2,"  LINHA","  PONTO","1","LAI_ABC_setembro2009_1a4.txt","2009","9","16","6","28","bom"
